Nom,address_raw,formatted_address,lat,lng,non_dangereux,dangereux,amiantes
Déchèterie Biot (le ),Déchèterie Biot (le ) Route des Grandes Alpes Za la Vignette Le Biot 74430,"Rte des Grandes Alpes, 74430 La Baume, France",46.1936486,6.6859013,True,True,False
Déchèterie Bons-en-chablais,Déchèterie Bons-en-chablais Zi des Bracots  Bons-en-Chablais 74890,"Rue des Bracots, 74890 Bons-en-Chablais, France",46.274553,6.3502539,True,True,False
Déchèterie Bonvillaret,"Déchèterie Bonvillaret le Chaix Lieu Dit ""la Folesse"" Bonvillaret 73220","D72, 73220 Bonvillaret, France",45.5582228,6.2905175,True,True,True
Déchèterie Bourdeaux,Déchèterie Bourdeaux Déchetterie le Village Bourdeaux 26460,"26460 Bourdeaux, France",44.58491,5.133122,True,True,False
Déchèterie Bourg-Saint-Maurice,Déchèterie Bourg-Saint-Maurice Déchetterie Rue de Pinon Bourg-Saint-Maurice 73700,"523 Rue de Pinon, 73700 Bourg-Saint-Maurice, France",45.6082433,6.7695308,True,True,True
Déchèterie Bourg-d'Oisans (le ),Déchèterie Bourg-d'Oisans (le ) le Fond des Roches Za le Fond des Roches Le Bourg-d'Oisans 38520,"ZA Fonds des Roches, Chem. du Fond des Roches, 38520 Le Bourg-d'Oisans, France",45.0657196,6.0217833,True,True,True
Déchèterie Bourg-en-Bresse,Déchèterie Bourg-en-Bresse Cenord Rue Gutenberg Bourg-en-Bresse 01000,"3 Av. Arsène d'Arsonval, 01000 Bourg-en-Bresse, France",46.2134813,5.219859599999999,False,False,True
Déchèterie Bourg-les-Valence,Déchèterie Bourg-les-Valence Dechetterie Marcerolles Rue Aristide Bergès Bourg-lès-Valence 26500,"Rue Aristide Berges, 26500 Bourg-lès-Valence, France",44.9630005,4.882714099999999,False,False,True
Déchèterie Bourg-saint-maurice - les Arcs 1800,Déchèterie Bourg-saint-maurice - les Arcs 1800 les Arcs Route de la Croisette les Arcs 1800 Bourg-Saint-Maurice 73700,"Arc 1800, 73700 Bourg-Saint-Maurice, France",45.575104,6.7795,True,True,False
Déchèterie Bourget-du-Lac (le ),Déchèterie Bourget-du-Lac (le ) le Bourget-du-Lac Z.A. de la Plaisse Le Bourget-du-Lac 73370,"639 Chem. de la Plaisse, 73370 Le Bourget-du-Lac, France",45.6386602,5.8588531,False,False,True
Déchèterie Bourgoin-Jallieu,"Déchèterie Bourgoin-Jallieu Champ Fleuri Zi, 1 Rue du Pont Rouge Bourgoin-Jallieu 38300","1 Rue du Pont Rouge, 38300 Bourgoin-Jallieu, France",45.5960122,5.259524499999999,True,True,False
Déchèterie Buis-les-Baronnies,Déchèterie Buis-les-Baronnies Aubagne  Buis-les-Baronnies 26170,"Aubagne, 26170 Buis-les-Baronnies, France",44.255137,5.262028,True,True,False
Déchèterie Caluire-et-Cuire,Déchèterie Caluire-et-Cuire Caluire-et-Cuire 62 Impasse des Lièvres Caluire-et-Cuire 69300,"62 Imp. des Lièvres, 69300 Caluire-et-Cuire, France",45.803498,4.8651618,True,True,False
Déchèterie Chabons,Déchèterie Chabons Chabons le Liers Châbons 38690,"Rte du Liers, 38690 Châbons, France",45.4272208,5.4030485,True,True,False
Déchèterie Chalamont,Déchèterie Chalamont le Petit Moulin  Chalamont 01320,"Le Petit Moulin, 01320 Chalamont, France",45.99277110000001,5.1807751,True,True,False
Déchèterie Chambery - Bissy,Déchèterie Chambery - Bissy Bissy 57 Rue du Pré Demaison Chambéry 73000,"57 Rue du Pré Demaison, 73000 Chambéry, France",45.5885048,5.8977007,False,False,True
Déchèterie Chamoux-sur-Gelon,Déchèterie Chamoux-sur-Gelon Déchetterie Z.A. de la Grande Bellavarde Chamoux-sur-Gelon 73390,"73390 Chamoux-sur-Gelon, France",45.5396607,6.2068297,True,True,False
Déchèterie Champagne-au-Mont-d'Or,Déchèterie Champagne-au-Mont-d'Or Champagne-au-Mont-d'Or Impasse des Anciennes Vignes Champagne-au-Mont-d'Or 69410,"Imp. des Anciennes Vignes, 69410 Champagne-au-Mont-d'Or, France",45.802206,4.774171,True,True,False
Déchèterie Champanges,Déchèterie Champanges Za de Darbon  Champanges 74500,"74500 Champanges, France",46.3772521,6.557372699999999,True,True,False
